,de_price,fr_price,flow_fr_to_de,flow_de_to_fr,fr_nuclear,fr_solar_forecast,fr_wind_forecast,fr_load,de_load,de_wind,de_solar,temp_paris,temp_berlin,ttf_close,ttf_change
2022-01-09 01:00:00+00:00,80.24,80.24,1546.8755,0.0,43503.0,0.0,13174.18,57700.0,46905.4675,33083.805,0.0,5.2,-1.0,88.17400360107422,-8.327995300292983
2022-01-09 02:00:00+00:00,55.46,55.46,2261.764,0.0,42719.0,0.0,12262.38,54650.0,46501.1125,32533.2025,0.0,4.6,-1.4,88.17400360107422,-8.327995300292983
2022-01-09 03:00:00+00:00,49.29,45.82,2493.321,0.0,42799.0,0.0,11351.2,52950.0,46622.2325,31648.620000000003,0.0,4.4,-1.5,88.17400360107422,-8.327995300292983
2022-01-09 04:00:00+00:00,50.64,48.5,2555.573,0.0,43203.0,0.0,10660.3,52950.0,46661.93,30575.755,0.0,4.6,-0.9,88.17400360107422,-8.327995300292983
2022-01-09 05:00:00+00:00,74.29,74.29,2183.5545,0.0,43599.0,0.0,9967.13,53800.0,46147.5875,30318.0275,0.0,4.2,-1.0,88.17400360107422,-8.327995300292983
2022-01-09 06:00:00+00:00,84.44,89.78,1683.569,0.0,44624.0,0.0,9272.08,54950.0,47491.825,30022.572500000002,0.0,4.1,-0.9,88.17400360107422,-8.327995300292983
2022-01-09 07:00:00+00:00,97.26,104.79,748.48,123.361,44566.0,0.0,8744.34,56700.0,50380.4075,29467.2725,112.035,4.2,-0.5,88.17400360107422,-8.327995300292983
2022-01-09 08:00:00+00:00,119.97,147.36,523.6125,290.261,44886.0,203.48,8217.32,59150.0,53564.2775,28731.285,741.55,3.5,-0.1,88.17400360107422,-8.327995300292983
2022-01-09 09:00:00+00:00,134.96,149.48,59.0525,889.6515,45972.0,1112.56,7690.94,62250.0,55671.3725,27505.8075,1626.97,4.4,0.8,88.17400360107422,-8.327995300292983
2022-01-09 10:00:00+00:00,149.4,157.71,0.0,1474.449,46170.0,2074.49,7457.2,63950.0,57944.775,25715.41,2533.0474999999997,5.7,1.5,88.17400360107422,-8.327995300292983
2022-01-09 11:00:00+00:00,165.13,167.63,0.0,1498.009,46352.0,2673.46,7223.26,65900.0,58051.729999999996,23815.895,3118.17,6.2,2.1,88.17400360107422,-8.327995300292983
2022-01-09 12:00:00+00:00,165.06,165.06,28.7725,592.711,46741.0,2764.45,6988.13,66000.0,56692.35,21839.8825,3089.8625,4.8,1.6,88.17400360107422,-8.327995300292983
2022-01-09 13:00:00+00:00,170.09,170.09,39.685,129.2665,47536.0,2445.95,6541.53,62500.0,55459.1875,19890.677499999998,2442.8325,5.3,1.6,88.17400360107422,-8.327995300292983
2022-01-09 14:00:00+00:00,189.04,189.04,129.0135,17.9225,47641.0,1686.37,6094.94,59850.0,55353.712499999994,18195.5075,1160.85,5.8,1.8,88.17400360107422,-8.327995300292983
2022-01-09 15:00:00+00:00,190.96,190.96,946.8675,0.0,47450.0,662.12,5650.37,59500.0,56480.895000000004,16842.48,140.0025,5.9,1.7,88.17400360107422,-8.327995300292983
2022-01-09 16:00:00+00:00,223.3,223.3,1207.2115,0.0,47941.0,46.34,5401.34,61150.0,60282.07,15798.895,0.0,4.4,1.5,88.17400360107422,-8.327995300292983
2022-01-09 17:00:00+00:00,243.94,243.94,618.9695,16.49,48125.0,0.0,5151.96,66000.0,61702.79,14833.32,0.0,3.6,1.7,88.17400360107422,-8.327995300292983
2022-01-09 18:00:00+00:00,240.0,240.0,317.2875,6.4825,48187.0,0.0,4901.89,68250.0,60525.755,13651.855,0.0,3.5,2.0,88.17400360107422,-8.327995300292983
2022-01-09 19:00:00+00:00,230.82,230.82,348.3985,0.0,48199.0,0.0,4519.52,65900.0,58940.105,12194.1525,0.0,3.3,1.9,88.17400360107422,-8.327995300292983
2022-01-09 20:00:00+00:00,214.02,214.02,57.3025,83.2855,47986.0,0.0,4137.38,62750.0,57515.009999999995,10779.31,0.0,3.0,1.6,88.17400360107422,-8.327995300292983
